ticker,universe_name,match,sbti_id,company_name,isin,location,near_term_status,near_term_target_classification,net_zero_status,value
HD,Home Depot (The),isin,40012640,The Home Depot,US4370761029,United States of America,Targets set,1.5°C,,3
HLT,Hilton Worldwide,isin,40009671,Hilton,US43300A2033,United States of America,Targets set,1.5°C,,3
HON,Honeywell Technologies,name,40013585,Honeywell International Inc.,US4385161066,United States of America,Targets set,Well-below 2°C,,2
HPE,Hewlett Packard Enterprise,isin,40000722,Hewlett Packard Enterprise Company,US42824C1099,United States of America,Targets set,1.5°C,Targets set,4
HPQ,HP Inc.,isin,40005167,HP Inc.,US40434L1052,United States of America,Targets set,1.5°C,Targets set,4
HRL,Hormel Foods,isin,40015152,Hormel Foods Corporation,US4404521001,United States of America,Targets set,1.5°C,,3
HSIC,Henry Schein,name,40013152,"Henry Schein, Inc.",,United States of America,Targets set,1.5°C,Targets set,4
HST,Host Hotels & Resorts,isin,40014983,"Host Hotels & Resorts, Inc.",US44107P1049,United States of America,Targets set,1.5°C,,3
HSY,Hershey Company (The),isin,40011284,The Hershey Company,US4278661081,United States of America,Targets set,1.5°C,,3
HUM,Humana,isin,40001977,Humana Inc.,US4448591028,United States of America,Targets set,1.5°C,,3
IFF,International Flavors & Fragrances,isin,40004510,International Flavors & Fragrances Inc.,US4595061015,United States of America,Targets set,1.5°C,,3
INTU,Intuit,isin,40010122,Intuit,US4612021034,United States of America,Targets set,1.5°C,Targets set,4
IP,International Paper,isin,40002456,International Paper Company,US4601461035,United States of America,Targets set,Well-below 2°C,,2
IQV,IQVIA,isin,40015893,IQVIA Holdings Inc,US46266C1053,United States of America,Targets set,1.5°C,Targets set,4
IR,Ingersoll Rand,isin,40013052,Ingersoll Rand Inc.,US45687V1061,United States of America,Targets set,1.5°C,Targets set,4
IRM,Iron Mountain,isin,40007941,Iron Mountain,US46284V1017,United States of America,Targets set,1.5°C,Targets set,4
IT,Gartner,isin,40011144,"Gartner, Inc.",US3666511072,United States of America,Targets set,1.5°C,,3
J,Jacobs Solutions,manual,40005053,Jacobs,US4698141078,United States of America,Targets set,1.5°C,Targets set,4
JBL,Jabil,isin,40014256,Jabil Inc.,US4663131039,United States of America,Commitment removed,,Commitment removed,0
JCI,Johnson Controls,isin,40009254,Johnson Controls International plc,IE00BY7QL619,Ireland,Targets set,1.5°C,,3
JKHY,Jack Henry & Associates,name,40009307,"Jack Henry and Associates, Inc.",,United States of America,Commitment removed,,,0
JNJ,Johnson & Johnson,isin,40007032,Johnson & Johnson,US4781601046,United States of America,Targets set,1.5°C,Commitment removed,3
KDP,Keurig Dr Pepper,name,40000587,Keurig Dr Pepper,US26138E1091,United States of America,Targets set,1.5°C,,3
KEYS,Keysight Technologies,isin,40003570,"Keysight Technologies, Inc.",US49338L1035,United States of America,Targets set,1.5°C,,3
KHC,Kraft Heinz,isin,40004111,The Kraft Heinz Company,US5007541064,United States of America,Targets set,1.5°C,Targets set,4
KIM,Kimco Realty,isin,40000165,Kimco Realty Corporation,US49446R1095,United States of America,Targets set,Well-below 2°C,,2
KLAC,KLA Corporation,isin,40003411,KLA Corporation,US4824801009,United States of America,Targets set,1.5°C,,3
KMB,Kimberly-Clark,isin,40002897,Kimberly-Clark Corporation,US4943681035,United States of America,Targets set,Well-below 2°C,,2
KR,Kroger,isin,40003560,The Kroger Co.,US5010441013,United States of America,Commitment removed,,,0
KVUE,Kenvue,isin,40009801,Kenvue Inc.,US49177J1025,United States of America,Targets set,1.5°C,Commitment removed,3
LH,Labcorp,name,40005137,Labcorp,US50540R4092,United States of America,Targets set,1.5°C,,3
LII,Lennox International,isin,40012485,Lennox International Inc.,US5261071071,United States of America,Targets set,Well-below 2°C,,2
LIN,Linde plc,isin,40004033,Linde plc,IE000S9YS762,United Kingdom,Targets set,Well-below 2°C,,2
LITE,Lumentum,isin,40007469,Lumentum Holdings Inc,US55024U1097,United States of America,Targets set,1.5°C,Targets set,4
LOW,Lowe's,isin,40008843,"Lowe's Companies, Inc.",US5486611073,United States of America,Commitment removed,,Commitment removed,0
LRCX,Lam Research,name,40002772,Lam Research Corporation,US5128071082,United States of America,Targets set,1.5°C,,3
LULU,Lululemon Athletica,isin,40015556,lululemon,US5500211090,Canada,Targets set,1.5°C,Targets set,4
LVS,Las Vegas Sands,isin,40012647,Las Vegas Sands Corp,US5178341070,United States of America,Targets set,1.5°C,,3
LYB,LyondellBasell,isin,40016050,LyondellBasell Industries N.V.,NL0009434992,United Kingdom,Commitment removed,,,0
MA,Mastercard,isin,40014096,Mastercard,US57636Q1040,United States of America,Targets set,1.5°C,,3
MAR,Marriott International,isin,40012608,"Marriott International, Inc.",US5719032022,United States of America,Targets set,1.5°C,Targets set,4
MCD,McDonald's,isin,40006743,McDonald's Corporation,US5801351017,United States of America,Targets set,1.5°C,Targets set,4
MCK,McKesson Corporation,isin,40003977,McKesson Corporation,US58155Q1031,United States of America,Targets set,1.5°C,,3
MCO,Moody's Corporation,isin,40009531,Moody's Corporation,US6153691059,United States of America,Targets set,1.5°C,Targets set,4
MDLZ,Mondelez International,isin,40006911,Mondelez International Inc,US6092071058,United States of America,Targets set,1.5°C,Targets set,4
MDT,Medtronic,isin,40013615,Medtronic PLC,IE00BTN1Y115,Ireland,Targets set,1.5°C,Commitment removed,3
MET,MetLife,isin,40015075,"MetLife, Inc.",US59156R1086,United States of America,Committed,,,1
META,Meta Platforms,isin,40011493,"Meta Platforms, Inc.",US30303M1027,United States of America,Targets set,1.5°C,Commitment removed,3
MGM,MGM Resorts,isin,40012348,MGM Resorts International,US5529531015,United States of America,Targets set,1.5°C,,3
MKC,McCormick & Company,isin,40000956,"McCormick & Company, Incorporated",US5797802064,United States of America,Targets set,1.5°C,Targets set,4
MLM,Martin Marietta Materials,isin,40000939,"Martin Marietta Materials, Inc.",US5732841060,United States of America,Targets set,1.5°C,,3
MMM,3M,isin,40001115,3M,US88579Y1010,United States of America,Targets set,1.5°C,,3
MNST,Monster Beverage,isin,40015566,Monster Beverage Corporation,US61174X1090,United States of America,Commitment removed,,,0
MO,Altria,isin,40004335,"Altria Group, Inc.",US02209S1033,United States of America,Targets set,1.5°C,Targets set,4
MRK,Merck & Co.,isin,40005417,"Merck & Co., Inc., Rahway, NJ USA, which is known as MSD outside the U.S. and Canada",US58933Y1055,United States of America,Targets set,1.5°C,Targets set,4
MRNA,Moderna,isin,40008085,"Moderna, Inc.",US60770K1079,United States of America,Targets set,1.5°C,Targets set,4
MRSH,Marsh McLennan,name,40000243,Marsh McLennan,US571748BP64,United States of America,Targets set,1.5°C,Targets set,4
MRVL,Marvell Technology,isin,40006650,Marvell Technology Inc.,US5738741041,United States of America,Targets set,1.5°C,Commitment removed,3
MSCI,MSCI,isin,40003345,MSCI Inc.,US55354G1004,United States of America,Targets set,1.5°C,Targets set,4
MSFT,Microsoft,isin,40005011,Microsoft Corporation,US5949181045,United States of America,Targets set,1.5°C,Commitment removed,3
MTD,Mettler Toledo,isin,40015377,Mettler-Toledo International Inc.,US5926881054,Switzerland,Targets set,1.5°C,Targets set,4
NDAQ,"Nasdaq, Inc.",isin,40005542,"Nasdaq, Inc.",US6311031081,United States of America,Targets set,1.5°C,Targets set,4
NEM,Newmont,isin,40004162,Newmont Corporation,US6516391066,United States of America,Targets set,Well-below 2°C,,2
NFLX,Netflix,isin,40010747,Netflix,US64110L1061,United States of America,Targets set,1.5°C,Commitment removed,3
NKE,"Nike, Inc.",isin,40004519,"NIKE, Inc.",US6541061031,United States of America,Targets set,1.5°C,,3
NOW,ServiceNow,isin,40003116,ServiceNow Inc.,US81762P1021,United States of America,Targets set,1.5°C,,3
NRG,NRG Energy,isin,40012374,NRG Energy Inc,US6293775085,United States of America,Targets set,1.5°C,Commitment removed,3
NSC,Norfolk Southern,isin,40015206,Norfolk Southern Corporation,US6558441084,United States of America,Targets set,Well-below 2°C,,2
NTAP,NetApp,isin,40005427,NetApp Inc.,US64110D1046,United States of America,Targets set,1.5°C,,3
NTRS,Northern Trust,isin,40005759,Northern Trust,US6658591044,United States of America,Committed,,Committed,1
NVDA,Nvidia,isin,40018902,NVIDIA,US67066G1040,United States of America,Targets set,1.5°C,,3
NWS,News Corp (Class B),isin,40007841,News Corp,US65249B2088,United States of America,Targets set,1.5°C,Targets set,4
NXPI,NXP Semiconductors,isin,40004048,NXP Semiconductors,NL0009538784,Netherlands,Targets set,1.5°C,,3
OMC,Omnicom Group,isin,40012783,Omnicom Group,US6819191064,United States of America,Targets set,1.5°C,,3
ON,ON Semiconductor,isin,40003133,onsemi,US6821891057,United States of America,Targets set,1.5°C,,3
OTIS,Otis Worldwide,isin,40010878,Otis Worldwide Corporation,US68902V1070,United States of America,Targets set,1.5°C,,3
PANW,Palo Alto Networks,isin,40002883,Palo Alto Networks,US6974351057,United States of America,Targets set,1.5°C,Targets set,4
PCAR,Paccar,isin,40000021,PACCAR Inc,US6937181088,United States of America,Targets set,Well-below 2°C,,2
PCG,PG&E Corporation,isin,40015754,PG&E Corporation,US69331C1080,United States of America,Commitment removed,,,0
PEG,Public Service Enterprise Group,isin,40010459,Public Service Enterprise Group Inc. (PSEG),US7445731067,United States of America,Commitment removed,,,0
PEP,PepsiCo,isin,40010750,"PepsiCo, Inc.",US7134481081,United States of America,Targets set,1.5°C,Targets set,4
PFE,Pfizer,isin,40013466,Pfizer Inc.,US7170811035,United States of America,Targets set,1.5°C,Commitment removed,3
PFG,Principal Financial Group,isin,40000055,"Principal Financial Group, Inc.",US74251V1026,United States of America,Commitment removed,,,0
PG,Procter & Gamble,isin,40004926,Procter & Gamble Company,US7427181091,United States of America,Targets set,1.5°C,Commitment removed,3
PH,Parker Hannifin,isin,40005041,Parker Hannifin Corporation,US7010941042,United States of America,Targets set,1.5°C,,3
PLD,Prologis,isin,40005659,Prologis Inc.,US74340W1036,United States of America,Targets set,1.5°C,Targets set,4
PLTR,Palantir Technologies,isin,40014284,Palantir Technologies Inc.,US69608A1088,United States of America,Commitment removed,,,0
PM,Philip Morris International,isin,40002667,Philip Morris International,US7181721090,United States of America,Targets set,1.5°C,Targets set,4
PPG,PPG Industries,isin,40006010,"PPG Industries, Inc.",US6935061076,United States of America,Targets set,1.5°C,,3
PSKY,Paramount Skydance Corporation,manual,40013210,Paramount Global,US92556H2067,United States of America,Targets set,1.5°C,Commitment removed,3
PTC,PTC Inc.,manual,40014590,PTC Inc.,,United States of America,Targets set,1.5°C,Targets set,4
PYPL,PayPal,isin,40009668,PayPal,US70450Y1038,United States of America,Targets set,1.5°C,,3
QCOM,Qualcomm,isin,40005716,Qualcomm Incorporated,US7475251036,United States of America,Targets set,1.5°C,Targets set,4
REG,Regency Centers,isin,40011626,Regency Centers Corporation,US7588491032,United States of America,Targets set,Well-below 2°C,,2
RL,Ralph Lauren Corporation,isin,40015354,Ralph Lauren Corporation,US7512121010,United States of America,Targets set,1.5°C,Commitment removed,3
RMD,ResMed|,isin,40008798,ResMed Inc,US7611521078,United States of America,Commitment removed,,Commitment removed,0
ROK,Rockwell Automation,isin,40001619,Rockwell Automation Inc.,US7739031091,United States of America,Targets set,1.5°C,Targets set,4
ROP,Roper Technologies,isin,40010844,"Roper Technologies, Inc.",US7766961061,United States of America,Commitment removed,,,0
RSG,Republic Services,isin,40009241,Republic Services,US7607591002,United States of America,Targets set,Well-below 2°C,,2
RVTY,Revvity,name,40004278,PerkinElmer,,United States of America,Commitment removed,,,0
RVTY,Revvity,isin,40011642,"Revvity, Inc.",US7140461093,United States of America,Commitment removed,,,0
SBAC,SBA Communications,isin,40006957,SBA Communications Corporation,US78410G1040,United States of America,Targets set,1.5°C,,3
SBUX,Starbucks,isin,40000857,Starbucks,US8552441094,United States of America,Targets set,1.5°C,,3
SJM,J.M. Smucker Company (The),isin,40000309,The J.M. Smucker Company,US8326964058,United States of America,Targets set,Well-below 2°C,,2
SMCI,Supermicro,name,40005203,"Super Micro Computer, Inc.",US86800U1043,United States of America,Targets set,1.5°C,,3
SNDK,Sandisk,name,40026978,Sandisk,,United States of America,Committed,,Committed,1
SNPS,Synopsys,isin,40001274,"Synopsys, Inc.",US8716071076,United States of America,Targets set,1.5°C,,3
SOLV,Solventum,isin,40020995,SOLVENTUM CORPORATION,US83444M1018,United States of America,Committed,,Committed,1
SPG,Simon Property Group,isin,40003858,Simon Property Group,US8288061091,United States of America,Targets set,1.5°C,,3
SPGI,S&P Global,isin,40003679,S&P Global Inc.,US78409V1044,United States of America,Targets set,1.5°C,Targets set,4
STE,Steris,isin,40017778,STERIS,IE00BFY8C754,Ireland,Committed,,,1
STX,Seagate Technology,name,40006753,Seagate Technology,IE00B58JVZ52,Ireland,Targets set,1.5°C,,3
SW,Smurfit Westrock,manual,40000368,Smurfit Kappa Group,IE00B1RR8406,Ireland,Targets set,Well-below 2°C,,2
SW,Smurfit Westrock,manual,40007037,WestRock Company,US96145D1054,United States of America,Targets set,Well-below 2°C,,2
SWK,Stanley Black & Decker,isin,40011620,Stanley Black & Decker,US8545021011,United States of America,Targets set,1.5°C,,3
SYK,Stryker Corporation,name,40008600,STRYKER CORPORATION,,United States of America,Commitment removed,,,0
SYY,Sysco,isin,40014225,Sysco Corporation,US8718291078,United States of America,Targets set,Well-below 2°C,,2
T,AT&T,isin,40013776,AT&T Inc.,US00206R1023,United States of America,Targets set,1.5°C,,3
TAP,Molson Coors Beverage Company,isin,40001823,Molson Coors Brewing Company,US60871R2094,United States of America,Targets set,1.5°C,Targets set,4
TECH,Bio-Techne,isin,40016149,Bio-Techne,US09073M1045,United States of America,Targets set,1.5°C,,3
TEL,TE Connectivity,name,40001391,TE Connectivity Ltd,,Switzerland,Targets set,1.5°C,,3
TER,Teradyne,isin,40008027,"Teradyne, Inc.",US8807701029,United States of America,Targets set,1.5°C,Targets set,4
TGT,Target Corporation,isin,40002625,Target Corporation,US87612E1064,United States of America,Targets set,2°C,Committed,2
TMO,Thermo Fisher Scientific,isin,40002694,Thermo Fisher Scientific Inc.,US8835561023,United States of America,Targets set,1.5°C,Targets set,4
TMUS,T-Mobile US,isin,40003553,"T-Mobile USA, Inc.",US8725901040,United States of America,Targets set,1.5°C,Targets set,4
TPR,"Tapestry, Inc.",isin,40010593,"Tapestry, Inc.",US8760301072,United States of America,Targets set,1.5°C,Targets set,4
TRMB,Trimble Inc.,name,40013292,Trimble Inc,,United States of America,Targets set,1.5°C,,3
TSCO,Tractor Supply,isin,40007783,Tractor Supply Company,US8923561067,United States of America,Commitment removed,,,0
TSLA,"Tesla, Inc.",isin,40009923,Tesla Inc.,US88160R1014,United States of America,Commitment removed,,,0
TSN,Tyson Foods,isin,40001494,"Tyson Foods, Inc.",US9024941034,United States of America,Targets set,2°C,,2
TT,Trane Technologies,name,40005184,Trane Technologies Plc.,US456873AF50,Ireland,Targets set,1.5°C,Targets set,4
TTWO,Take-Two Interactive,isin,40004277,"Take-Two Interactive Software, Inc.",US8740541094,United States of America,Targets set,1.5°C,,3
TXN,Texas Instruments,name,40016887,Texas Instruments,,United States of America,Targets set,1.5°C,,3
UAL,United Airlines Holdings,isin,40005583,"United Airlines, Inc.",US9100471096,United States of America,Targets set,Well-below 2°C,Commitment removed,2
UBER,Uber,isin,40000011,"Uber Technologies, Inc.",US90353T1007,United States of America,Targets set,1.5°C,Targets set,4
UDR,"UDR, Inc.",isin,40013723,UDR,US9026531049,United States of America,Commitment removed,,,0
ULTA,Ulta Beauty,isin,40012126,"Ulta Beauty, Inc.",US90384S3031,United States of America,Targets set,1.5°C,,3
UNH,UnitedHealth Group,name,40004642,UnitedHealth Group,,United States of America,Targets set,1.5°C,Committed,3
UNP,Union Pacific Corporation,isin,40005282,Union Pacific Corporation,US9078181081,United States of America,Targets set,1.5°C,Commitment removed,3
V,Visa Inc.,isin,40007796,Visa Inc.,US92826C8394,United States of America,Targets set,1.5°C,Targets set,4
VEEV,Veeva Systems,isin,40005368,Veeva Systems Inc.,US9224751084,United States of America,Targets set,1.5°C,,3
VLTO,Veralto,isin,40017076,Veralto,US92338C1036,United States of America,Committed,,,1
VMRK,Vivmark Residential,isin,40006199,Equity Residential,US29476L1070,United States of America,Targets set,Well-below 2°C,,2
VRSK,Verisk Analytics,isin,40009845,Verisk Analytics,US92345Y1064,United States of America,Targets set,1.5°C,Targets set,4
VST,Vistra Corp.,isin,40011199,Vistra Corp.,US92840M1027,United States of America,Targets set,1.5°C,,3
VTR,Ventas,isin,40009376,"Ventas, Inc.",US92276F1003,United States of America,Targets set,1.5°C,,3
VTRS,Viatris,isin,40000438,Viatris Inc.,US92556V1061,United States of America,Targets set,1.5°C,,3
VZ,Verizon,isin,40001929,Verizon,US92343V1044,United States of America,Targets set,1.5°C,Committed,3
WAT,Waters Corporation,isin,40014894,Waters Corporation,US9418481035,United States of America,Targets set,1.5°C,Targets set,4
WDAY,"Workday, Inc.",isin,40009355,"Workday, Inc.",US98138H1014,United States of America,Targets set,1.5°C,,3
WDC,Western Digital,isin,40000938,Western Digital,US9581021055,United States of America,Targets set,1.5°C,,3
WELL,Welltower,name,40006499,Welltower Inc.,,United States of America,Targets set,Well-below 2°C,,2
WM,Waste Management,isin,40005982,WM,US94106L1098,United States of America,Targets set,1.5°C,,3
WMT,Walmart,isin,40012486,Walmart Inc.,US9311421039,United States of America,Targets set,1.5°C,Commitment removed,3
WSM,"Williams-Sonoma, Inc.",isin,40010485,"Williams-Sonoma, Inc.",US9699041011,United States of America,Targets set,1.5°C,,3
WST,West Pharmaceutical Services,name,40003146,"West Pharmaceutical Services, Inc.",,United States of America,Targets set,1.5°C,,3
WTW,Willis Towers Watson,isin,40013496,WTW,IE00BDB6Q211,United Kingdom,Targets set,1.5°C,Targets set,4
WY,Weyerhaeuser,isin,40004853,Weyerhaeuser Company,US9621661043,United States of America,Targets set,1.5°C,Commitment removed,3
XYL,Xylem Inc.,isin,40007717,Xylem Inc.,US98419M1009,United States of America,Targets set,1.5°C,Commitment removed,3
XYZ,"Block, Inc.",isin,40007919,"Block, Inc.",US8522341036,United States of America,Targets set,1.5°C,Commitment removed,3
YUM,Yum! Brands,isin,40001982,"Yum! Brands, Inc.",US9884981013,United States of America,Targets set,1.5°C,Commitment removed,3
ZBH,Zimmer Biomet,isin,40006164,Zimmer Biomet,US98956P1021,United States of America,Targets set,1.5°C,Targets set,4
ZBRA,Zebra Technologies,isin,40000674,Zebra Technologies Corporation,US9892071054,United States of America,Targets set,1.5°C,,3
